gene_symbol	wikipedia_daily_page_views	wikipedia_daily_page_views_change_from_previous_day	view_rank	view_rank_delta
CHRM3	60	43	236	-20
CHAT	60	32	237	61
IGF1R	59	16	238	319
HTT	59	37	239	18
MME	59	50	240	-62
OXTR	59	49	241	-58
SERPING1	59	45	242	-36
TGFB1	58	66	243	-123
CD86	58	19	244	249
FCGRT	58	13	245	467
VEGFA	57	19	246	231
COMT	57	53	247	-92
IL13	57	50	248	-72
IL15	57	22	249	166
ADRB3	57	42	250	-29
TXN	57	24	251	136
HTR4	57	45	252	-44
SLC2A2	57	42	253	-30
TAAR1	57	39	254	-11
PRNT	57	53	255	-97
JUN	56	26	256	94
MRC2	56	27	257	91
MMP9	55	34	258	20
IL18	55	39	259	-25
CYP2E1	55	42	260	-40
BCR	55	25	261	110
DRD1	55	52	262	-98
BRCA2	54	29	263	56
IL2RA	54	20	264	194
ALK	54	32	265	30
ABCC11	54	44	266	-54
MTHFR	53	37	267	-14
PCNA	53	28	268	63
TYMS	53	22	269	143
SLC2A1	53	38	270	-21
IAPP	53	29	271	53
IL33	53	17	272	266
CHRM1	53	22	273	152
SIRPA	53	10	274	595
IL1RN	52	27	275	63
MAOB	52	36	276	-10
FST	52	23	277	130
GUSB	52	19	278	218
TLR2	51	26	279	70
RET	51	42	280	-61
DMD	51	52	281	-119
DHFR	51	28	282	52
TNFRSF9	51	22	283	144
HRH2	51	11	284	530
FOSB	51	24	285	110
PTGS2	50	31	286	17
FAS	50	41	287	-62
BAX	50	50	288	-115
ACTB	50	24	289	93
CNR1	50	52	290	-127
ACTA2	50	25	291	81
IL22	50	22	292	130
CD27	50	18	293	226
VHLL	50	28	294	43
AGER	49	18	295	209
VCAM1	49	41	296	-69
F10	49	48	297	-109
NCAM2	49	19	298	193
TIGIT	49	22	299	133
PARK2	48	38	300	-53
PPARGC1A	48	28	301	31
GCK	48	27	302	40
KITLG	48	18	303	210
CD74	48	14	304	353
SKIL	48	40	305	-74
CTSW	48	31	306	2
SSX3	48	50	307	-127
MDM2	47	45	308	-106
IL1A	47	17	309	216
NR3C2	47	16	310	259
ANXA5	47	16	311	259
HTR2B	47	55	312	-160
XIST	47	17	313	237
LAG3	47	35	314	-38
ABL1	46	33	315	-28
APC2	46	39	316	-81
PRNP	46	32	317	-25
PTHLH	46	23	318	86
LAMP1	46	20	319	154
LIPE	46	48	320	-126
TNFRSF17	46	22	321	110
DOK2	46	25	322	56
TERT	45	42	323	-106
FGF2	45	20	324	129
DRD4	45	37	325	-71
FMR1	45	19	326	158
IL7	45	24	327	62
AIF1	45	22	328	101
AKT1	44	25	329	38
SOD1	44	20	330	122
HFE	44	30	331	-19
CST3	44	33	332	-44
FOXO1	44	16	333	230
IL7R	44	8	334	674
PROS1	44	38	335	-85
SIGMAR1	44	38	336	-84
FCGR1C	44	15	337	288
MECP2	43	16	338	222
TARDBP	43	32	339	-45
SREBF1	43	7	340	779
DDX58	43	24	341	47
FADS6	43	22	342	84
GPI	43	16	343	237
RICTOR	43	39	344	-103
TRPA1	43	17	345	203
CD33	43	14	346	318
