gene_symbol	wikipedia_daily_page_views	wikipedia_daily_page_views_change_from_previous_day	view_rank	view_rank_delta
PSG1	3	2	3474	-99
SGSH	3	0	3475	5010
SPIB	3	1	3476	1455
UNC119	3	0	3477	5024
PASK	3	0	3478	5047
CBY1	3	0	3479	5052
TNFRSF21	3	3	3480	-969
EMR2	3	1	3481	1465
PRX	3	0	3482	5085
VPS13B	3	0	3483	5102
RNASEH1	3	2	3484	-97
MAFA	3	4	3485	-1499
FGF12	3	1	3486	1472
MT1E	3	0	3487	5123
RANBP3	3	0	3488	5138
VNN1	3	0	3489	5140
NTNG1	3	0	3490	5155
LRP1B	3	3	3491	-973
HOXB2	3	1	3492	1507
LTBP3	3	0	3493	5233
MGAT1	3	0	3494	5233
TCF21	3	1	3495	1515
RNGTT	3	0	3496	5249
TGOLN2	3	0	3497	5263
MLPH	3	1	3498	1530
AJUBA	3	1	3499	1532
EYA4	3	1	3500	1541
FDXR	3	1	3501	1541
GUCY1B3	3	0	3502	5331
EPX	3	2	3503	-72
HOMER2	3	0	3504	5365
POLG2	3	0	3505	5381
CELA3B	3	0	3506	5387
SIGLEC7	3	5	3507	-1852
SIGLEC9	3	1	3508	1559
UNC93B1	3	0	3509	5434
MARVELD2	3	1	3510	1571
CKMT2	3	0	3511	5459
DLX2	3	1	3512	1575
MSH4	3	0	3513	5469
PSPH	3	2	3514	-70
TAOK2	3	3	3515	-984
TSR1	3	6	3516	-2127
HIF3A	3	1	3517	1602
CARD14	3	0	3518	5563
ATP1A4	3	2	3519	-65
MC5R	3	4	3520	-1522
MYO1A	3	2	3521	-66
SHOX2	3	1	3522	1615
SP2	3	1	3523	1615
SHOC2	3	1	3524	1616
STEAP1	3	1	3525	1625
COQ2	3	1	3526	1625
NDFIP2	3	0	3527	5688
FAM46A	3	0	3528	5696
IL22RA1	3	2	3529	-66
CYB5B	3	10	3530	-2638
NLRC5	3	4	3531	-1532
MASTL	3	0	3532	5718
ABCD2	3	0	3533	5730
CPN1	3	0	3534	5735
GZMH	3	0	3535	5739
TM4SF1	3	2	3536	-65
KCNAB2	3	0	3537	5758
ALDH4A1	3	1	3538	1645
PPRC1	3	0	3539	5798
CIC	3	3	3540	-993
MPP6	3	1	3541	1663
FGFRL1	3	0	3542	5832
DIXDC1	3	2	3543	-63
AFM	3	2	3544	-61
CD5L	3	2	3545	-60
DTX1	3	0	3546	5916
ELF5	3	1	3547	1682
INPP1	3	0	3548	5918
LGALS4	3	0	3549	5920
NRTN	3	2	3550	-61
PAX1	3	0	3551	5927
PPP1R3C	3	0	3552	5933
PLAC1	3	1	3553	1693
DAPK2	3	0	3554	5988
SIGLEC8	3	5	3555	-1894
PNPO	3	4	3556	-1550
LANCL2	3	0	3557	6020
NADK	3	1	3558	1698
ATP5G1	3	0	3559	6088
FPR3	3	1	3560	1711
GABRE	3	1	3561	1711
SNUPN	3	0	3562	6154
SMG5	3	2	3563	-50
GCA	3	0	3564	6174
ZP4	3	1	3565	1752
OSR1	3	0	3566	6277
RBM33	3	0	3567	6283
CORT	3	2	3568	-48
EZH1	3	1	3569	1768
NOVA1	3	2	3570	-47
PGAM2	3	2	3571	-45
COLQ	3	0	3572	6330
SYNGR1	3	0	3573	6339
GPA33	3	0	3574	6351
GLCE	3	0	3575	6374
FBXL3	3	0	3576	6377
HES6	3	2	3577	-44
SPATA7	3	1	3578	1791
DUSP22	3	1	3579	1791
CEMIP	3	2	3580	-45
FN3K	3	4	3581	-1568
RETNLB	3	1	3582	1794
BTBD9	3	1	3583	1795
BRAT1	3	0	3584	6464
ATP6V0B	3	1	3585	1798
GABRD	3	1	3586	1801
RYK	3	1	3587	1806
TPST1	3	0	3588	6510
SNURF	3	0	3589	6517
SIRPB1	3	1	3590	1812
DUSP12	3	0	3591	6550
KRT23	3	4	3592	-1575
SARS2	3	1	3593	1830
TRERF1	3	0	3594	6617
BBX	3	0	3595	6623
LCA5	3	0	3596	6687
ART3	3	1	3597	1840
CLCN4	3	2	3598	-41
GDF3	3	2	3599	-36
NFE2L3	3	1	3600	1852
CROCC	3	4	3601	-1581
TSFM	3	0	3602	6749
ACOT2	3	1	3603	1853
DHRS7B	3	1	3604	1860
HEYL	3	1	3605	1860
CROT	3	2	3606	-41
PRDM9	3	5	3607	-1942
ADCK3	3	3	3608	-1031
TSHZ3	3	1	3609	1864
COG3	3	0	3610	6878
LCOR	3	0	3611	6884
SLC27A1	3	1	3612	1875
LTK	3	5	3613	-1946
POU4F3	3	0	3614	6954
WNT9B	3	0	3615	6968
TEAD2	3	1	3616	1885
CER1	3	2	3617	-44
ORAI2	3	1	3618	1914
ATG9B	3	1	3619	1923
CACNB3	3	1	3620	1923
NR2F6	3	0	3621	7235
LPAR4	3	1	3622	1928
MLNR	3	2	3623	-32
NPFF	3	2	3624	-29
HIBADH	3	0	3625	7298
ZFYVE1	3	2	3626	-27
VANGL2	3	0	3627	7390
PTF1A	3	2	3628	-25
GNG11	3	0	3629	7521
LY6E	3	3	3630	-1037
MYF6	3	2	3631	-24
ALX1	3	2	3632	-24
ACOX3	3	1	3633	1979
TIMM9	3	0	3634	7608
FOXD3	3	0	3635	7609
HILPDA	3	0	3636	7619
FKBP14	3	2	3637	-26
FAM20C	3	1	3638	1995
PCTP	3	0	3639	7679
RNF128	3	1	3640	1995
APOL3	3	3	3641	-1043
SLC47A2	3	1	3642	1999
NLRP6	3	1	3643	1999
ZRSR2	3	1	3644	2011
DOC2A	3	0	3645	7877
CCRL2	3	0	3646	7881
TBX4	3	1	3647	2012
B3GNT1	3	0	3648	7908
SLC2A8	3	1	3649	2023
TAS2R14	3	3	3650	-1044
ADPRHL2	3	0	3651	7984
GLIS2	3	0	3652	8065
MMAA	3	1	3653	2049
TAS2R43	3	0	3654	8119
SLC7A6	3	0	3655	8188
LHX2	3	0	3656	8191
RCE1	3	0	3657	8206
SLC27A3	3	0	3658	8220
RBPMS	3	0	3659	8221
ABLIM3	3	0	3660	8228
LILRA4	3	0	3661	8242
EMCN	3	6	3662	-2261
AMELY	3	12	3663	-2890
UTF1	3	1	3664	2108
DMXL2	3	1	3665	2114
DSE	3	2	3666	-18
SELT	3	0	3667	8687
IMP4	3	0	3668	8839
OXER1	3	0	3669	8880
EBF3	3	3	3670	-1054
LRRTM1	3	2	3671	-12
PPIP5K2	3	1	3672	2145
PBDC1	3	0	3673	9083
SPZ1	3	0	3674	9226
A2ML1	3	1	3675	2168
CAPN9	3	0	3676	9416
IRX4	3	0	3677	9482
FAM46C	3	0	3678	9516
SRD5A3	3	2	3679	6
GPR63	3	0	3680	9611
GLIS1	3	0	3681	9722
TAS2R39	3	0	3682	9771
VWA2	3	1	3683	2194
QRFP	3	0	3684	9780
MMP23B	3	0	3685	9856
TMEM131	3	1	3686	2207
TM6SF2	3	1	3687	2211
WWC2	3	0	3688	10077
SLC17A8	3	0	3689	10249
TAS2R40	3	0	3690	10254
MYLPF	3	0	3691	10439
COQ3	3	0	3692	10459
SIDT1	3	1	3693	2248
KCNG4	3	0	3694	10646
LYPD1	3	0	3695	10658
RPL22L1	3	0	3696	10730
PLIN5	3	0	3697	10810
GPR78	3	0	3698	10967
TMEM176B	3	1	3699	2286
GPR84	3	0	3700	10996
LOXHD1	3	0	3701	11198
MIAT	3	1	3702	2310
CDNF	3	0	3703	11371
TBR1	3	1	3704	2314
FLRT1	3	0	3705	11475
OSR2	3	0	3706	11750
TMEM26	3	0	3707	11871
CDHR3	3	2	3708	12
KRT37	3	1	3709	2340
ADAM7	3	3	3710	-1073
FHAD1	3	1	3711	2352
EPHX4	3	2	3712	15
TAS2R30	3	2	3713	15
RGL4	3	2	3714	15
COL24A1	3	1	3715	2379
IQSEC3	3	0	3716	13328
SSMEM1	3	1	3717	2394
GPR112	3	0	3718	13710
ZACN	3	1	3719	2399
IPW	3	2	3720	31
CCDC144A	3	1	3721	2401
OR9Q1	3	0	3722	15467
NRON	3	2	3723	34
NFKBID	3	0	3724	16592
BLACE	3	4	3725	-1670
IZUMO1R	3	7	3726	-2494
MIR1282	3	1	3727	2446
SYK	2	4	3728	-2036
CHUK	2	3	3729	-1665
XRCC3	2	0	3730	2460
GH1	2	3	3731	-1665
APOA5	2	3	3732	-1663
UBE2I	2	2	3733	-1076
CALM1	2	2	3734	-1076
XPO1	2	6	3735	-2492
CCNT1	2	2	3736	-1076
NCOA3	2	0	3737	2458
ABCC1	2	4	3738	-2030
STAT5A	2	3	3739	-1659
FHIT	2	2	3740	-1074
COL1A2	2	6	3741	-2493
DNMT3B	2	1	3742	30
YWHAB	2	1	3743	31
PDGFB	2	14	3744	-3101
NEDD4	2	2	3745	-1067
CHRNA7	2	2	3746	-1066
NR1H3	2	5	3747	-2298
MYOC	2	4	3748	-2025
ACTG1	2	6	3749	-2492
CTNND1	2	2	3750	-1067
HDAC4	2	1	3751	36
ERCC5	2	2	3752	-1062
TNFRSF10A	2	1	3753	39
PLA2G7	2	4	3754	-2017
COPS5	2	1	3755	38
GJB1	2	0	3756	2466
SAA1	2	0	3757	2468
BDKRB2	2	2	3758	-1056
PSEN2	2	2	3759	-1056
PTTG1	2	0	3760	2473
PLA2G4A	2	1	3761	46
GSTA1	2	0	3762	2476
FGFR4	2	3	3763	-1654
CHRNA3	2	2	3764	-1043
CHRNA5	2	3	3765	-1653
YWHAG	2	3	3766	-1653
EDNRA	2	0	3767	2474
DDX5	2	3	3768	-1651
NFATC2	2	4	3769	-2016
CHRNA4	2	0	3770	2475
SCNN1A	2	3	3771	-1652
ERCC6	2	2	3772	-1040
ABCA4	2	4	3773	-2018
PRKD1	2	0	3774	2473
FABP2	2	0	3775	2473
GCH1	2	9	3776	-2847
STX1A	2	2	3777	-1039
TAF1	2	0	3778	2477
SPHK1	2	1	3779	45
APOBEC3F	2	0	3780	2478
GCKR	2	2	3781	-1035
HHEX	2	2	3782	-1035
CDKN1C	2	3	3783	-1655
RANBP2	2	4	3784	-2023
CAMK2A	2	0	3785	2480
UGT1A9	2	0	3786	2480
DEFB1	2	2	3787	-1035
YWHAH	2	1	3788	43
PDIA3	2	8	3789	-2760
COL4A1	2	3	3790	-1658
HNRNPC	2	0	3791	2488
ATXN2	2	4	3792	-2026
CCND2	2	3	3793	-1653
ILF3	2	5	3794	-2316
CAPN10	2	2	3795	-1036
NONO	2	2	3796	-1035
IGFBP5	2	1	3797	48
TRPC6	2	3	3798	-1649
VASP	2	2	3799	-1037
RTN4	2	6	3800	-2514
PPP2R4	2	0	3801	2495
SPRY2	2	0	3802	2498
CDC34	2	2	3803	-1037
PRKAA2	2	2	3804	-1035
CDC37	2	2	3805	-1033
MAPK7	2	1	3806	53
HCFC1	2	3	3807	-1654
EPHB2	2	4	3808	-2031
PLD1	2	0	3809	2504
RAD23B	2	1	3810	52
FADS1	2	0	3811	2506
SDC2	2	1	3812	53
MEF2A	2	1	3813	54
PSMB8	2	1	3814	54
KIR2DL4	2	3	3815	-1657
MAX	2	4	3816	-2031
PDGFA	2	2	3817	-1037
TUBA1B	2	1	3818	54
FZR1	2	1	3819	54
ARHGDIA	2	2	3820	-1036
PCBP1	2	2	3821	-1035
MDC1	2	0	3822	2505
CCNA1	2	0	3823	2507
KLF5	2	2	3824	-1035
HOXA10	2	1	3825	52
CSNK1E	2	1	3826	55
HTR3A	2	0	3827	2511
CDC73	2	1	3828	55
RAPGEF3	2	6	3829	-2530
MST1R	2	3	3830	-1658
VPRBP	2	0	3831	2521
DYNLL1	2	4	3832	-2037
ATP5B	2	2	3833	-1033
PSMD1	2	0	3834	2524
GLRA1	2	0	3835	2525
TGFBR3	2	3	3836	-1658
SH3KBP1	2	0	3837	2529
ACKR3	2	4	3838	-2038
ACP1	2	2	3839	-1035
PAEP	2	0	3840	2533
SLIT2	2	0	3841	2533
CALM2	2	1	3842	56
SNRNP70	2	2	3843	-1037
ALAD	2	13	3844	-3141
HUWE1	2	2	3845	-1036
TIRAP	2	4	3846	-2044
RPL11	2	1	3847	57
TRPC3	2	3	3848	-1665
E2F4	2	0	3849	2539
RAB27A	2	0	3850	2541
RPGR	2	0	3851	2541
SKI	2	2	3852	-1032
PRDX6	2	2	3853	-1031
RAD18	2	0	3854	2540
EIF4A1	2	1	3855	57
KLK1	2	1	3856	58
ACTN2	2	1	3857	59
PIK3CD	2	1	3858	62
TOP2B	2	0	3859	2549
TFPI2	2	0	3860	2549
FIGF	2	1	3861	61
AP2A1	2	0	3862	2552
PAWR	2	0	3863	2552
RAD9A	2	0	3864	2552
ABCG8	2	1	3865	66
HDAC9	2	0	3866	2559
FKBP4	2	3	3867	-1668
GAD1	2	5	3868	-2348
TPI1	2	2	3869	-1029
CAST	2	0	3870	2569
U2AF1	2	1	3871	72
TREM1	2	3	3872	-1665
RBMX	2	3	3873	-1659
BUB1	2	0	3874	2586
CKB	2	1	3875	88
EXT2	2	0	3876	2585
CSF2RB	2	3	3877	-1658
FLNB	2	2	3878	-1020
ALYREF	2	0	3879	2591
ACADM	2	3	3880	-1656
LAMA5	2	0	3881	2593
ORM1	2	0	3882	2594
SMURF2	2	0	3883	2603
CDKN2B-AS1	2	1	3884	94
ADAMTS4	2	1	3885	101
TNFSF15	2	1	3886	101
HAX1	2	0	3887	2607
CRHR2	2	4	3888	-2058
PPM1D	2	2	3889	-1021
CLIC1	2	2	3890	-1020
HLA-DQA2	2	4	3891	-2060
HPGD	2	2	3892	-1021
HSD3B1	2	1	3893	101
HSD3B2	2	6	3894	-2571
MAPK10	2	0	3895	2614
VAPB	2	2	3896	-1021
IFNGR2	2	1	3897	105
LAMC1	2	2	3898	-1020
SNCG	2	0	3899	2620
HDAC7	2	1	3900	106
SYVN1	2	0	3901	2621
ANXA6	2	1	3902	105
CDK8	2	5	3903	-2359
SMAD6	2	0	3904	2625
NKX3-1	2	1	3905	104
RXRB	2	0	3906	2626
RANBP9	2	1	3907	105
TRAP1	2	1	3908	105
PARD3	2	0	3909	2627
ATP2B4	2	1	3910	104
CYP2J2	2	1	3911	104
KIF5B	2	0	3912	2626
SLC1A1	2	1	3913	103
WFDC2	2	7	3914	-2739
CSTB	2	3	3915	-1665
LAMB1	2	1	3916	104
TFE3	2	2	3917	-1028
PAK4	2	4	3918	-2079
NDC80	2	0	3919	2631
CHD3	2	3	3920	-1667
PEPD	2	1	3921	107
SAFB	2	0	3922	2636
LRPPRC	2	0	3923	2638
CCT8	2	0	3924	2640
HSPB8	2	0	3925	2640
AGXT	2	2	3926	-1034
DVL1	2	1	3927	106
ESRRG	2	3	3928	-1669
LAMB3	2	0	3929	2642
PTPN12	2	0	3930	2642
SLC22A2	2	3	3931	-1670
STAU1	2	4	3932	-2089
FBXW11	2	0	3933	2647
UIMC1	2	1	3934	102
ATP2B1	2	1	3935	102
DOK1	2	0	3936	2649
DSG3	2	7	3937	-2758
MSX2	2	2	3938	-1040
SERBP1	2	3	3939	-1674
EGLN3	2	3	3940	-1674
NMT1	2	0	3941	2657
IKBKAP	2	0	3942	2663
HNRNPR	2	3	3943	-1674
DDX6	2	2	3944	-1035
GHRHR	2	3	3945	-1675
GNB2	2	1	3946	109
PSMD8	2	0	3947	2667
GIPC1	2	5	3948	-2388
ETV4	2	3	3949	-1674
RAB4A	2	0	3950	2671
TGFB1I1	2	1	3951	112
TPSAB1	2	0	3952	2673
USH2A	2	1	3953	111
ABI1	2	2	3954	-1028
DLL1	2	3	3955	-1677
CKS1B	2	2	3956	-1026
NUCB2	2	0	3957	2673
RNF8	2	2	3958	-1026
NCF4	2	0	3959	2692
CDC16	2	2	3960	-1022
SF3A1	2	0	3961	2697
FLCN	2	3	3962	-1672
MPG	2	3	3963	-1670
PTPRJ	2	0	3964	2700
HSPH1	2	0	3965	2705
ANK1	2	1	3966	131
ATN1	2	1	3967	134
IL12RB2	2	1	3968	135
NUDT1	2	0	3969	2707
USP5	2	0	3970	2711
GNG2	2	0	3971	2725
HIF1AN	2	1	3972	141
C10orf2	2	2	3973	-1021
THBS2	2	1	3974	141
TSHB	2	2	3975	-1020
DLG5	2	0	3976	2733
TARBP2	2	1	3977	142
USF2	2	3	3978	-1673
ANK2	2	4	3979	-2099
ANXA4	2	1	3980	142
GTF2F2	2	0	3981	2749
NPY1R	2	3	3982	-1672
PCMT1	2	0	3983	2749
RPL22	2	0	3984	2752
ST6GAL1	2	1	3985	144
PDCD6	2	1	3986	146
PBRM1	2	1	3987	150
EDN2	2	0	3988	2764
PTGDR	2	1	3989	154
TRIM27	2	0	3990	2768
LATS1	2	3	3991	-1676
NIPBL	2	2	3992	-1022
ARHGDIB	2	2	3993	-1021
FOXE1	2	4	3994	-2105
LHB	2	2	3995	-1022
TDGF1	2	1	3996	160
CLDN2	2	2	3997	-1018
CIB1	2	0	3998	2785
COPS4	2	1	3999	163
UGT1A4	2	3	4000	-1680
ADCYAP1R1	2	1	4001	164
IFNA21	2	0	4002	2792
MID1	2	0	4003	2793
NCOA4	2	1	4004	167
MBD4	2	1	4005	167
AKR1B10	2	3	4006	-1683
KLKB1	2	0	4007	2805
RAD17	2	0	4008	2812
DCTN2	2	0	4009	2818
SRRM2	2	1	4010	176
DAZL	2	0	4011	2822
DFFA	2	4	4012	-2119
EYA1	2	1	4013	181
WHSC1	2	2	4014	-1018
PDCD10	2	1	4015	187
PGC	2	0	4016	2844
PKN2	2	7	4017	-2824
SEL1L	2	0	4018	2848
HLTF	2	0	4019	2848
ELAC2	2	0	4020	2857
THADA	2	0	4021	2857
EPHA4	2	0	4022	2860
HIST1H1E	2	0	4023	2862
MT1A	2	1	4024	200
NACA	2	2	4025	-1014
MAP2K5	2	0	4026	2862
ABCE1	2	2	4027	-1014
HIST2H2AA3	2	0	4028	2866
NCOA6	2	1	4029	200
KCNK9	2	0	4030	2871
GDAP1	2	1	4031	199
NEIL1	2	2	4032	-1017
COL11A2	2	0	4033	2873
EIF6	2	2	4034	-1017
MARS	2	1	4035	201
USP15	2	0	4036	2884
ZBTB33	2	2	4037	-1016
THAP1	2	0	4038	2889
CLSPN	2	1	4039	206
EPHB1	2	0	4040	2892
GUCY2D	2	2	4041	-1019
LASP1	2	1	4042	213
MAGEA1	2	1	4043	213
PLCB3	2	0	4044	2894
RNPS1	2	1	4045	220
TMED10	2	0	4046	2899
CRB1	2	1	4047	219
NPLOC4	2	0	4048	2904
ATIC	2	2	4049	-1021
CYB5A	2	0	4050	2909
KRT16	2	2	4051	-1022
LIMS1	2	1	4052	222
RAP1GAP	2	0	4053	2909
SDHC	2	3	4054	-1708
SS18	2	2	4055	-1023
ADARB1	2	3	4056	-1709
DHCR24	2	0	4057	2922
KIF5A	2	2	4058	-1022
UBE2E2	2	0	4059	2929
RBM10	2	0	4060	2929
NAPA	2	1	4061	231
LITAF	2	0	4062	2931
IRF9	2	0	4063	2933
HYOU1	2	0	4064	2933
TRIM33	2	1	4065	233
NLK	2	1	4066	233
ARID1B	2	1	4067	233
KMT2C	2	3	4068	-1719
CACNB2	2	3	4069	-1718
CASP4	2	1	4070	235
DEFA5	2	2	4071	-1027
NFYB	2	0	4072	2934
RRAS	2	4	4073	-2167
TAC3	2	1	4074	240
SLC23A1	2	1	4075	241
BLNK	2	3	4076	-1723
UGT1A3	2	2	4077	-1024
FANCL	2	0	4078	2952
RASSF5	2	0	4079	2953
ARID5B	2	1	4080	239
ATP2B2	2	1	4081	239
CTNND2	2	3	4082	-1726
GSTM2	2	2	4083	-1028
KCNK2	2	6	4084	-2729
TGM3	2	1	4085	243
COPB2	2	1	4086	244
VAMP3	2	0	4087	2971
ITM2B	2	2	4088	-1030
XRN2	2	1	4089	244
MACF1	2	1	4090	244
FIS1	2	2	4091	-1028
ANXA11	2	2	4092	-1026
ARG2	2	0	4093	2979
NFE2	2	2	4094	-1025
RPL18A	2	0	4095	2988
EIF2S2	2	0	4096	2995
SCO2	2	6	4097	-2738
KLF1	2	0	4098	3000
SYNE2	2	0	4099	3004
CEBPE	2	2	4100	-1024
EPHA1	2	0	4101	3018
GALNS	2	1	4102	247
SLC3A1	2	0	4103	3025
CITED2	2	0	4104	3034
STK39	2	0	4105	3039
NOX5	2	24	4106	-3713
UNC13D	2	0	4107	3041
ACADVL	2	1	4108	252
PLK3	2	2	4109	-1026
SLC31A1	2	1	4110	254
GABRB1	2	1	4111	254
MSI1	2	0	4112	3043
SH3BP2	2	0	4113	3047
TBX2	2	2	4114	-1024
ARHGEF6	2	1	4115	257
SPINT2	2	0	4116	3051
PRMT6	2	0	4117	3056
IRGM	2	2	4118	-1023
ADCY5	2	0	4119	3062
CD1B	2	2	4120	-1022
COCH	2	0	4121	3062
DLST	2	2	4122	-1022
KCNJ6	2	1	4123	264
PAK3	2	1	4124	265
RPL27A	2	0	4125	3063
TSPY1	2	1	4126	264
PQBP1	2	0	4127	3071
HR	2	1	4128	267
FERMT3	2	0	4129	3086
ATP5C1	2	0	4130	3092
GANC	2	0	4131	3099
GFI1	2	1	4132	265
NDN	2	1	4133	266
PARN	2	0	4134	3103
PKP1	2	1	4135	266
RAP2A	2	0	4136	3104
EIF2B2	2	0	4137	3110
DCLK1	2	4	4138	-2213
COL4A3BP	2	1	4139	268
TOX3	2	0	4140	3119
ASGR1	2	0	4141	3125
CRHBP	2	2	4142	-1025
GAK	2	1	4143	269
IL13RA1	2	0	4144	3130
NFYC	2	0	4145	3133
REV3L	2	2	4146	-1027
TSN	2	1	4147	268
HIST1H2BG	2	0	4148	3141
TAGLN2	2	0	4149	3141
ACTR1A	2	0	4150	3144
TRIM22	2	0	4151	3145
AMELX	2	0	4152	3157
CRYBB2	2	1	4153	275
DUT	2	0	4154	3157
FLII	2	1	4155	276
HIST1H2AE	2	0	4156	3159
HSF2	2	0	4157	3159
JAG2	2	0	4158	3159
RFX1	2	0	4159	3164
TSPAN8	2	2	4160	-1029
ELL	2	1	4161	276
CAMK1	2	4	4162	-2233
MAGI2	2	0	4163	3173
SAE1	2	0	4164	3173
ABCB6	2	0	4165	3173
NUP133	2	0	4166	3181
RFWD2	2	0	4167	3183
TMEM18	2	1	4168	274
CDSN	2	1	4169	277
HLCS	2	1	4170	278
NDUFS1	2	9	4171	-3196
RDH5	2	0	4172	3200
TCEB3	2	0	4173	3205
FXR2	2	0	4174	3207
NR2E3	2	0	4175	3208
KCNQ1OT1	2	1	4176	283
CYFIP2	2	1	4177	285
FERMT1	2	0	4178	3216
DDX24	2	0	4179	3220
CYSLTR2	2	2	4180	-1036
ALAS1	2	2	4181	-1036
GPC5	2	0	4182	3225
GALK1	2	4	4183	-2251
RASGRF1	2	2	4184	-1035
SEMA3F	2	2	4185	-1034
TNR	2	1	4186	292
RAD54L	2	2	4187	-1033
MAP4K4	2	0	4188	3235
NPEPPS	2	1	4189	292
SPRED1	2	0	4190	3246
ERH	2	0	4191	3256
MATK	2	0	4192	3259
PTPRM	2	1	4193	305
RRBP1	2	0	4194	3262
TRAPPC2	2	0	4195	3262
SKIV2L	2	0	4196	3262
SSR4	2	0	4197	3262
TSNAX	2	1	4198	301
KIAA0101	2	1	4199	301
SMC2	2	3	4200	-1787
DSTN	2	0	4201	3272
MYOF	2	0	4202	3277
GNB4	2	0	4203	3284
EIF2AK4	2	3	4204	-1790
ACADS	2	6	4205	-2831
ADH1A	2	0	4206	3286
ATP5O	2	0	4207	3288
SLC26A2	2	1	4208	305
GNAL	2	0	4209	3289
MAFG	2	0	4210	3289
PYGB	2	1	4211	312
RGS1	2	1	4212	312
SCG2	2	1	4213	314
SLBP	2	1	4214	314
CAMKK2	2	1	4215	318
RIPK3	2	3	4216	-1796
RALY	2	1	4217	319
HSPBP1	2	0	4218	3308
ZMIZ1	2	2	4219	-1042
NAA15	2	0	4220	3312
CASP5	2	0	4221	3323
COL6A3	2	0	4222	3324
NPAT	2	1	4223	325
NRD1	2	0	4224	3329
POU2AF1	2	1	4225	324
PRM1	2	0	4226	3329
RREB1	2	0	4227	3331
SNRPB2	2	0	4228	3331
SYN2	2	0	4229	3333
ZWINT	2	0	4230	3346
COPZ1	2	0	4231	3347
MPP5	2	0	4232	3355
PROKR2	2	0	4233	3356
ATP5F1	2	2	4234	-1044
CALB1	2	0	4235	3361
CDH17	2	2	4236	-1045
CYP2C18	2	0	4237	3361
GNAT2	2	2	4238	-1044
PDE6B	2	2	4239	-1044
SERPINA4	2	0	4240	3361
SERPINI1	2	0	4241	3361
PITX3	2	1	4242	326
PRKACG	2	0	4243	3361
SIM2	2	1	4244	328
TACR3	2	4	4245	-2301
SUPT3H	2	0	4246	3363
FCN3	2	2	4247	-1049
DYRK1B	2	2	4248	-1049
EHF	2	2	4249	-1046
CHMP1B	2	0	4250	3387
ZNF350	2	0	4251	3388
DYX1C1	2	0	4252	3391
AK1	2	1	4253	326
ARF5	2	0	4254	3393
KIF1A	2	6	4255	-2875
GABRA3	2	7	4256	-3048
HARS	2	3	4257	-1822
HSD17B3	2	0	4258	3396
P4HA1	2	1	4259	328
PFDN5	2	0	4260	3397
UQCRC2	2	0	4261	3404
OASL	2	1	4262	333
UBE2L6	2	0	4263	3409
GTF2IRD1	2	0	4264	3409
CREB3	2	1	4265	337
NEU3	2	0	4266	3413
CEP250	2	1	4267	340
DIS3	2	1	4268	340
FNBP1	2	0	4269	3413
LPAR3	2	2	4270	-1052
LTB4R2	2	2	4271	-1050
FBXO32	2	5	4272	-2638
CYP2R1	2	4	4273	-2323
BST1	2	3	4274	-1834
CRYBA1	2	1	4275	340
CTSZ	2	2	4276	-1052
MFI2	2	3	4277	-1835
SNTB2	2	1	4278	345
SSX2	2	0	4279	3447
FZD1	2	2	4280	-1053
ARPC1B	2	3	4281	-1838
SPIN1	2	1	4282	353
PI4K2A	2	0	4283	3472
KDM3A	2	0	4284	3475
PTBP2	2	0	4285	3475
UBE2O	2	0	4286	3476
KIF6	2	0	4287	3483
ACOX1	2	4	4288	-2332
CACNA1B	2	1	4289	356
COL9A3	2	0	4290	3494
DFNA5	2	1	4291	355
E2F5	2	0	4292	3495
EIF2B1	2	0	4293	3495
GABRA6	2	3	4294	-1846
PRIM2	2	0	4295	3503
SGCG	2	1	4296	354
TNNI2	2	0	4297	3505
CSRP3	2	2	4298	-1058
HIST1H2BM	2	0	4299	3507
EIF4G3	2	0	4300	3509
AP1S2	2	1	4301	353
CCP110	2	0	4302	3512
CDK12	2	3	4303	-1850
SULF2	2	0	4304	3531
TMEM43	2	1	4305	357
LNX1	2	2	4306	-1058
HCN2	2	2	4307	-1056
CDK3	2	0	4308	3541
GH2	2	3	4309	-1853
LCN1	2	0	4310	3548
MCC	2	1	4311	360
NAB2	2	0	4312	3547
PYCR1	2	2	4313	-1056
SAG	2	0	4314	3551
SP4	2	0	4315	3552
WNT10B	2	1	4316	364
FZD7	2	2	4317	-1057
HIP1R	2	1	4318	366
CLDN16	2	2	4319	-1056
ASCC3	2	1	4320	367
BAZ1A	2	0	4321	3565
TRIM29	2	0	4322	3568
ZBTB7B	2	1	4323	368
RAB25	2	0	4324	3574
TMPRSS3	2	0	4325	3576
RBM15	2	1	4326	367
IL1F10	2	1	4327	367
LACRT	2	2	4328	-1061
EYS	2	3	4329	-1868
GNAT1	2	1	4330	371
HLX	2	1	4331	372
NFIB	2	1	4332	375
UCK2	2	1	4333	377
HIST1H2AC	2	1	4334	378
DOCK4	2	0	4335	3618
DLGAP5	2	1	4336	380
RASGRP1	2	2	4337	-1058
KDM6B	2	2	4338	-1054
TXN2	2	1	4339	386
PSAT1	2	0	4340	3628
CLN6	2	1	4341	388
RHOT1	2	1	4342	389
ITM2C	2	1	4343	391
CABLES1	2	0	4344	3641
SFXN1	2	1	4345	391
TRDMT1	2	1	4346	397
GALNT3	2	0	4347	3649
IDH3A	2	2	4348	-1059
IMPA1	2	0	4349	3652
LLGL1	2	0	4350	3655
NDUFV1	2	1	4351	395
PIK3R3	2	0	4352	3669
