gene_symbol	page_views
INS	128
MT4	94
DSEL	88
EPO	77
MGMT	73
EPYC	70
MAVS	58
AVP	56
CD4	55
PSD2	55
KLK3	52
CTSB	49
NPPA	44
HECA	43
IFNG	42
ERBB2	41
AR	40
LEP	40
CYP3A4	40
CD274	39
